date,datatype,station,attributes,value
1990-01-01T00:00:00,PRCP,GHCND:CA007023075,",,C,",8
1990-01-02T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1990-01-03T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1990-01-04T00:00:00,PRCP,GHCND:CA007023075,",,C,",26
1990-01-05T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1990-01-06T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1990-01-07T00:00:00,PRCP,GHCND:CA007023075,",,C,",10
1990-01-08T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1990-01-09T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1990-01-10T00:00:00,PRCP,GHCND:CA007023075,",,C,",4
1990-01-11T00:00:00,PRCP,GHCND:CA007023075,",,C,",40
1990-01-12T00:00:00,PRCP,GHCND:CA007023075,",,C,",20
1990-01-13T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1990-01-14T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1990-01-15T00:00:00,PRCP,GHCND:CA007023075,",,C,",60
1990-01-16T00:00:00,PRCP,GHCND:CA007023075,",,C,",10
1990-01-17T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1990-01-18T00:00:00,PRCP,GHCND:CA007023075,",,C,",4
1990-01-19T00:00:00,PRCP,GHCND:CA007023075,",,C,",6
1990-01-20T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1990-01-21T00:00:00,PRCP,GHCND:CA007023075,",,C,",260
1990-01-22T00:00:00,PRCP,GHCND:CA007023075,",,C,",10
1990-01-23T00:00:00,PRCP,GHCND:CA007023075,",,C,",10
1990-01-24T00:00:00,PRCP,GHCND:CA007023075,",,C,",10
1990-01-25T00:00:00,PRCP,GHCND:CA007023075,",,C,",20
1990-01-26T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1990-01-27T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1990-01-28T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1990-01-29T00:00:00,PRCP,GHCND:CA007023075,",,C,",220
1990-01-30T00:00:00,PRCP,GHCND:CA007023075,",,C,",20
1990-01-31T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1990-02-01T00:00:00,PRCP,GHCND:CA007023075,",,C,",8
1990-02-02T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1990-02-03T00:00:00,PRCP,GHCND:CA007023075,",,C,",160
1990-02-04T00:00:00,PRCP,GHCND:CA007023075,",,C,",50
