date,datatype,station,attributes,value
2017-01-01T00:00:00,PRCP,GHCND:CA007022579,",,C,",36
2017-01-01T00:00:00,TAVG,GHCND:CA007022579,",,C,",-18
2017-01-02T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2017-01-02T00:00:00,TAVG,GHCND:CA007022579,",,C,",2
2017-01-03T00:00:00,PRCP,GHCND:CA007022579,",,C,",73
2017-01-03T00:00:00,TAVG,GHCND:CA007022579,",,C,",9
2017-01-04T00:00:00,PRCP,GHCND:CA007022579,",,C,",59
2017-01-04T00:00:00,TAVG,GHCND:CA007022579,",,C,",-11
2017-01-05T00:00:00,PRCP,GHCND:CA007022579,",,C,",2
2017-01-05T00:00:00,TAVG,GHCND:CA007022579,",,C,",-58
2017-01-06T00:00:00,PRCP,GHCND:CA007022579,",,C,",2
2017-01-06T00:00:00,TAVG,GHCND:CA007022579,",,C,",-88
2017-01-07T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2017-01-07T00:00:00,TAVG,GHCND:CA007022579,",,C,",-127
2017-01-08T00:00:00,PRCP,GHCND:CA007022579,",,C,",4
2017-01-08T00:00:00,TAVG,GHCND:CA007022579,",,C,",-164
2017-01-09T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2017-01-09T00:00:00,TAVG,GHCND:CA007022579,",,C,",-146
2017-01-10T00:00:00,PRCP,GHCND:CA007022579,",,C,",13
2017-01-10T00:00:00,TAVG,GHCND:CA007022579,",,C,",-37
2017-01-11T00:00:00,PRCP,GHCND:CA007022579,",,C,",30
2017-01-11T00:00:00,TAVG,GHCND:CA007022579,",,C,",48
2017-01-12T00:00:00,PRCP,GHCND:CA007022579,",,C,",127
2017-01-12T00:00:00,TAVG,GHCND:CA007022579,",,C,",56
2017-01-13T00:00:00,PRCP,GHCND:CA007022579,",,C,",10
2017-01-13T00:00:00,TAVG,GHCND:CA007022579,",,C,",-71
2017-01-14T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2017-01-14T00:00:00,TAVG,GHCND:CA007022579,",,C,",-120
2017-01-15T00:00:00,PRCP,GHCND:CA007022579,",,C,",2
2017-01-15T00:00:00,TAVG,GHCND:CA007022579,",,C,",-84
2017-01-16T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2017-01-16T00:00:00,TAVG,GHCND:CA007022579,",,C,",-46
2017-01-17T00:00:00,PRCP,GHCND:CA007022579,",,C,",21
2017-01-17T00:00:00,TAVG,GHCND:CA007022579,",,C,",-7
2017-01-18T00:00:00,PRCP,GHCND:CA007022579,",,C,",20
2017-01-18T00:00:00,TAVG,GHCND:CA007022579,",,C,",8
2017-01-19T00:00:00,PRCP,GHCND:CA007022579,",,C,",15
