date,datatype,station,attributes,value
1991-01-01T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-01-02T00:00:00,PRCP,GHCND:CA007023075,",,C,",10
1991-01-03T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-01-04T00:00:00,PRCP,GHCND:CA007023075,",,C,",10
1991-01-05T00:00:00,PRCP,GHCND:CA007023075,",,C,",20
1991-01-06T00:00:00,PRCP,GHCND:CA007023075,",,C,",14
1991-01-07T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-01-08T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-01-09T00:00:00,PRCP,GHCND:CA007023075,",,C,",50
1991-01-10T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-01-11T00:00:00,PRCP,GHCND:CA007023075,",,C,",210
1991-01-12T00:00:00,PRCP,GHCND:CA007023075,",,C,",34
1991-01-13T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-01-14T00:00:00,PRCP,GHCND:CA007023075,",,C,",10
1991-01-15T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-01-16T00:00:00,PRCP,GHCND:CA007023075,",,C,",120
1991-01-17T00:00:00,PRCP,GHCND:CA007023075,",,C,",28
1991-01-18T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-01-19T00:00:00,PRCP,GHCND:CA007023075,",,C,",20
1991-01-20T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-01-21T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-01-22T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-01-23T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-01-24T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-01-25T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-01-26T00:00:00,PRCP,GHCND:CA007023075,",,C,",10
1991-01-27T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-01-28T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-01-29T00:00:00,PRCP,GHCND:CA007023075,",,C,",30
1991-01-30T00:00:00,PRCP,GHCND:CA007023075,",,C,",44
1991-01-31T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-02-01T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-02-02T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-02-03T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-02-04T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-02-05T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-02-07T00:00:00,PRCP,GHCND:CA007023075,",,C,",12
1991-02-08T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-02-09T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-02-10T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-02-11T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-02-12T00:00:00,PRCP,GHCND:CA007023075,",,C,",20
1991-02-13T00:00:00,PRCP,GHCND:CA007023075,",,C,",18
1991-02-14T00:00:00,PRCP,GHCND:CA007023075,",,C,",134
1991-02-15T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-02-16T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-02-17T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-02-18T00:00:00,PRCP,GHCND:CA007023075,",,C,",40
1991-02-19T00:00:00,PRCP,GHCND:CA007023075,",,C,",64
1991-02-20T00:00:00,PRCP,GHCND:CA007023075,",,C,",6
1991-02-21T00:00:00,PRCP,GHCND:CA007023075,",,C,",32
1991-02-22T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-02-23T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-02-24T00:00:00,PRCP,GHCND:CA007023075,",,C,",38
1991-02-25T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-02-26T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-02-27T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-02-28T00:00:00,PRCP,GHCND:CA007023075,",,C,",22
1991-03-01T00:00:00,PRCP,GHCND:CA007023075,",,C,",18
1991-03-02T00:00:00,PRCP,GHCND:CA007023075,",,C,",36
1991-03-04T00:00:00,PRCP,GHCND:CA007023075,",,C,",68
1991-03-05T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-06T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-07T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-03-08T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-09T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-10T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-11T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-12T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-13T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-14T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-15T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-16T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-17T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-18T00:00:00,PRCP,GHCND:CA007023075,",,C,",80
1991-03-19T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-20T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-21T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-22T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-23T00:00:00,PRCP,GHCND:CA007023075,",,C,",80
1991-03-24T00:00:00,PRCP,GHCND:CA007023075,",,C,",64
1991-03-25T00:00:00,PRCP,GHCND:CA007023075,",,C,",10
1991-03-26T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-27T00:00:00,PRCP,GHCND:CA007023075,",,C,",66
1991-03-28T00:00:00,PRCP,GHCND:CA007023075,",,C,",20
1991-03-29T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-03-30T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-03-31T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-04-01T00:00:00,PRCP,GHCND:CA007023075,",,C,",10
1991-04-02T00:00:00,PRCP,GHCND:CA007023075,",,C,",16
1991-04-03T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-04-04T00:00:00,PRCP,GHCND:CA007023075,",,C,",4
1991-04-05T00:00:00,PRCP,GHCND:CA007023075,",,C,",10
1991-04-06T00:00:00,PRCP,GHCND:CA007023075,",,C,",4
1991-04-07T00:00:00,PRCP,GHCND:CA007023075,",,C,",30
1991-04-08T00:00:00,PRCP,GHCND:CA007023075,",,C,",100
1991-04-09T00:00:00,PRCP,GHCND:CA007023075,",,C,",492
1991-04-10T00:00:00,PRCP,GHCND:CA007023075,",,C,",8
1991-04-11T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-04-12T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-04-13T00:00:00,PRCP,GHCND:CA007023075,",,C,",2
1991-04-14T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-04-15T00:00:00,PRCP,GHCND:CA007023075,",,C,",162
1991-04-16T00:00:00,PRCP,GHCND:CA007023075,",,C,",14
1991-04-17T00:00:00,PRCP,GHCND:CA007023075,",,C,",10
1991-04-18T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-04-19T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-04-20T00:00:00,PRCP,GHCND:CA007023075,",,C,",92
1991-04-21T00:00:00,PRCP,GHCND:CA007023075,",,C,",324
1991-04-22T00:00:00,PRCP,GHCND:CA007023075,",,C,",52
1991-04-23T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-04-24T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-04-25T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-04-26T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-04-27T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-04-28T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-04-29T00:00:00,PRCP,GHCND:CA007023075,",,C,",16
1991-04-30T00:00:00,PRCP,GHCND:CA007023075,",,C,",18
1991-05-01T00:00:00,PRCP,GHCND:CA007023075,",,C,",100
1991-05-02T00:00:00,PRCP,GHCND:CA007023075,",,C,",42
1991-05-03T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-04T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-05T00:00:00,PRCP,GHCND:CA007023075,",,C,",132
1991-05-06T00:00:00,PRCP,GHCND:CA007023075,",,C,",58
1991-05-07T00:00:00,PRCP,GHCND:CA007023075,",,C,",10
1991-05-08T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-05-09T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-10T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-11T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-12T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-13T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-14T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-05-15T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-16T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-05-17T00:00:00,PRCP,GHCND:CA007023075,",,C,",216
1991-05-18T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-19T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-20T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-21T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-22T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-23T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-24T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-25T00:00:00,PRCP,GHCND:CA007023075,",,C,",48
1991-05-26T00:00:00,PRCP,GHCND:CA007023075,",,C,",264
1991-05-27T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-28T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-05-29T00:00:00,PRCP,GHCND:CA007023075,",,C,",6
1991-05-30T00:00:00,PRCP,GHCND:CA007023075,",,C,",30
1991-05-31T00:00:00,PRCP,GHCND:CA007023075,",,C,",46
1991-06-01T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-02T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-03T00:00:00,PRCP,GHCND:CA007023075,",,C,",32
1991-06-04T00:00:00,PRCP,GHCND:CA007023075,",,C,",4
1991-06-05T00:00:00,PRCP,GHCND:CA007023075,"T,,C,",0
1991-06-06T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-07T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-08T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-09T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-10T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-11T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-12T00:00:00,PRCP,GHCND:CA007023075,",,C,",44
1991-06-13T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-14T00:00:00,PRCP,GHCND:CA007023075,",,C,",8
1991-06-15T00:00:00,PRCP,GHCND:CA007023075,",,C,",30
1991-06-16T00:00:00,PRCP,GHCND:CA007023075,",,C,",98
1991-06-17T00:00:00,PRCP,GHCND:CA007023075,",,C,",6
1991-06-18T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-19T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-20T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-21T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-22T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-23T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-24T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-25T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-26T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-27T00:00:00,PRCP,GHCND:CA007023075,",,C,",20
1991-06-28T00:00:00,PRCP,GHCND:CA007023075,",,C,",66
1991-06-29T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-06-30T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-07-01T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-07-02T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-07-03T00:00:00,PRCP,GHCND:CA007023075,",,C,",0
1991-07-04T00:00:00,PRCP,GHCND:CA007023075,",,C,",240
1991-07-05T00:00:00,PRCP,GHCND:CA007023075,",,C,",32
1991-07-06T00:00:00,PRCP,GHCND:CA007023075,",,C,",2
1991-07-07T00:00:00,PRCP,GHCND:CA007023075,",,C,",2
