date,datatype,station,attributes,value
1996-01-01T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-02T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-03T00:00:00,PRCP,GHCND:CA007022579,",,C,",25
1996-01-04T00:00:00,PRCP,GHCND:CA007022579,",,C,",12
1996-01-05T00:00:00,PRCP,GHCND:CA007022579,",,C,",12
1996-01-06T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-07T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-08T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-09T00:00:00,PRCP,GHCND:CA007022579,",,C,",22
1996-01-10T00:00:00,PRCP,GHCND:CA007022579,",,C,",22
1996-01-11T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-12T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-13T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-14T00:00:00,PRCP,GHCND:CA007022579,",,C,",10
1996-01-15T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-16T00:00:00,PRCP,GHCND:CA007022579,",,C,",26
1996-01-17T00:00:00,PRCP,GHCND:CA007022579,",,C,",20
1996-01-18T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-19T00:00:00,PRCP,GHCND:CA007022579,",,C,",542
1996-01-20T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-21T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-22T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-23T00:00:00,PRCP,GHCND:CA007022579,",,C,",26
1996-01-24T00:00:00,PRCP,GHCND:CA007022579,",,C,",194
1996-01-25T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-26T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-27T00:00:00,PRCP,GHCND:CA007022579,",,C,",178
1996-01-28T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
1996-01-29T00:00:00,PRCP,GHCND:CA007022579,",,C,",10
1996-01-30T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
