date,datatype,station,attributes,value
2015-01-01T00:00:00,PRCP,GHCND:CA007022579,",,C,",35
2015-01-02T00:00:00,PRCP,GHCND:CA007022579,",,C,",3
2015-01-03T00:00:00,PRCP,GHCND:CA007022579,",,C,",95
2015-01-04T00:00:00,PRCP,GHCND:CA007022579,",,C,",190
2015-01-05T00:00:00,PRCP,GHCND:CA007022579,",,C,",6
2015-01-07T00:00:00,PRCP,GHCND:CA007022579,",,C,",34
2015-01-08T00:00:00,PRCP,GHCND:CA007022579,",,C,",2
2015-01-09T00:00:00,PRCP,GHCND:CA007022579,",,C,",11
2015-01-10T00:00:00,PRCP,GHCND:CA007022579,",,C,",2
2015-01-11T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2015-01-12T00:00:00,PRCP,GHCND:CA007022579,",,C,",61
2015-01-13T00:00:00,PRCP,GHCND:CA007022579,",,C,",2
2015-01-14T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2015-01-15T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2015-01-16T00:00:00,PRCP,GHCND:CA007022579,",,C,",12
2015-01-17T00:00:00,PRCP,GHCND:CA007022579,",,C,",2
2015-01-18T00:00:00,PRCP,GHCND:CA007022579,",,C,",122
2015-01-19T00:00:00,PRCP,GHCND:CA007022579,",,C,",40
2015-01-20T00:00:00,PRCP,GHCND:CA007022579,",,C,",2
2015-01-21T00:00:00,PRCP,GHCND:CA007022579,",,C,",27
2015-01-22T00:00:00,PRCP,GHCND:CA007022579,",,C,",9
2015-01-23T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2015-01-24T00:00:00,PRCP,GHCND:CA007022579,",,C,",9
2015-01-25T00:00:00,PRCP,GHCND:CA007022579,",,C,",26
2015-01-26T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2015-01-27T00:00:00,PRCP,GHCND:CA007022579,",,C,",9
2015-01-28T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2015-01-29T00:00:00,PRCP,GHCND:CA007022579,",,C,",10
2015-01-30T00:00:00,PRCP,GHCND:CA007022579,",,C,",73
