date,datatype,station,attributes,value
2004-01-01T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-02T00:00:00,PRCP,GHCND:CA007022579,",,C,",28
2004-01-03T00:00:00,PRCP,GHCND:CA007022579,",,C,",24
2004-01-04T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-05T00:00:00,PRCP,GHCND:CA007022579,",,C,",14
2004-01-06T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-07T00:00:00,PRCP,GHCND:CA007022579,",,C,",12
2004-01-08T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-09T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-10T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-11T00:00:00,PRCP,GHCND:CA007022579,",,C,",34
2004-01-12T00:00:00,PRCP,GHCND:CA007022579,",,C,",12
2004-01-13T00:00:00,PRCP,GHCND:CA007022579,",,C,",34
2004-01-14T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-15T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-16T00:00:00,PRCP,GHCND:CA007022579,",,C,",22
2004-01-17T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-18T00:00:00,PRCP,GHCND:CA007022579,",,C,",24
2004-01-19T00:00:00,PRCP,GHCND:CA007022579,",,C,",46
2004-01-20T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-21T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-22T00:00:00,PRCP,GHCND:CA007022579,",,C,",10
2004-01-23T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-24T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-25T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-26T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-27T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-01-28T00:00:00,PRCP,GHCND:CA007022579,",,C,",12
2004-01-29T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-02T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-03T00:00:00,PRCP,GHCND:CA007022579,",,C,",116
2004-02-04T00:00:00,PRCP,GHCND:CA007022579,",,C,",44
2004-02-05T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-06T00:00:00,PRCP,GHCND:CA007022579,",,C,",50
2004-02-07T00:00:00,PRCP,GHCND:CA007022579,",,C,",32
2004-02-08T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-09T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-10T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-11T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-12T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-13T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-16T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-17T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-18T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-19T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-20T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-21T00:00:00,PRCP,GHCND:CA007022579,",,C,",32
2004-02-22T00:00:00,PRCP,GHCND:CA007022579,",,C,",22
2004-02-23T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-24T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-25T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-26T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-27T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-28T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-02-29T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-01T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-02T00:00:00,PRCP,GHCND:CA007022579,",,C,",12
2004-03-03T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-04T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-05T00:00:00,PRCP,GHCND:CA007022579,",,C,",188
2004-03-06T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-07T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-08T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-09T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-10T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-11T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-12T00:00:00,PRCP,GHCND:CA007022579,",,C,",12
2004-03-13T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-14T00:00:00,PRCP,GHCND:CA007022579,",,C,",10
2004-03-15T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-16T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-17T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-18T00:00:00,PRCP,GHCND:CA007022579,",,C,",16
2004-03-19T00:00:00,PRCP,GHCND:CA007022579,",,C,",10
2004-03-20T00:00:00,PRCP,GHCND:CA007022579,",,C,",44
2004-03-21T00:00:00,PRCP,GHCND:CA007022579,",,C,",60
2004-03-22T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-23T00:00:00,PRCP,GHCND:CA007022579,",,C,",24
2004-03-24T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-25T00:00:00,PRCP,GHCND:CA007022579,",,C,",75
2004-03-26T00:00:00,PRCP,GHCND:CA007022579,",,C,",201
2004-03-27T00:00:00,PRCP,GHCND:CA007022579,",,C,",10
2004-03-28T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-03-31T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-01T00:00:00,PRCP,GHCND:CA007022579,",,C,",28
2004-04-02T00:00:00,PRCP,GHCND:CA007022579,",,C,",44
2004-04-03T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-04T00:00:00,PRCP,GHCND:CA007022579,",,C,",59
2004-04-05T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-06T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-07T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-08T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-09T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-10T00:00:00,PRCP,GHCND:CA007022579,",,C,",12
2004-04-11T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-12T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-13T00:00:00,PRCP,GHCND:CA007022579,",,C,",218
2004-04-15T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-16T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-17T00:00:00,PRCP,GHCND:CA007022579,",,C,",12
2004-04-18T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-19T00:00:00,PRCP,GHCND:CA007022579,",,C,",47
2004-04-20T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-21T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-22T00:00:00,PRCP,GHCND:CA007022579,",,C,",14
2004-04-24T00:00:00,PRCP,GHCND:CA007022579,",,C,",32
2004-04-25T00:00:00,PRCP,GHCND:CA007022579,",,C,",44
2004-04-26T00:00:00,PRCP,GHCND:CA007022579,",,C,",24
2004-04-27T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-04-28T00:00:00,PRCP,GHCND:CA007022579,",,C,",35
2004-04-30T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-05-01T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-05-02T00:00:00,PRCP,GHCND:CA007022579,",,C,",80
2004-05-03T00:00:00,PRCP,GHCND:CA007022579,",,C,",68
2004-05-04T00:00:00,PRCP,GHCND:CA007022579,",,C,",57
2004-05-05T00:00:00,PRCP,GHCND:CA007022579,",,C,",50
2004-05-06T00:00:00,PRCP,GHCND:CA007022579,",,C,",22
2004-05-07T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-05-08T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-05-09T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-05-10T00:00:00,PRCP,GHCND:CA007022579,",,C,",16
2004-05-11T00:00:00,PRCP,GHCND:CA007022579,",,C,",10
2004-05-12T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-05-13T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-05-14T00:00:00,PRCP,GHCND:CA007022579,",,C,",58
2004-05-15T00:00:00,PRCP,GHCND:CA007022579,",,C,",10
2004-05-16T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-05-17T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-05-18T00:00:00,PRCP,GHCND:CA007022579,",,C,",126
2004-05-19T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-05-20T00:00:00,PRCP,GHCND:CA007022579,",,C,",24
2004-05-21T00:00:00,PRCP,GHCND:CA007022579,",,C,",0
2004-05-22T00:00:00,PRCP,GHCND:CA007022579,",,C,",18
2004-05-23T00:00:00,PRCP,GHCND:CA007022579,",,C,",72
